"","Comentario"
"5482","Tengo esta cama, la compré en oferta, ha pasado 1 año y medio desde que la usamos y la adoro!!! Muy confortable, excelente descanso."
"5483","En general estoy conforme, sin embargo el colchon es un poco duro y el respaldo es demasiado fragil y poco comodo. Ademas no permite que la base de la cama este solida. Tuvimo que unir ambas bases con tablones."
"5484","He comprado 5 camas de éstas y son muy buenas las recomiendo 100% , aún están como nuevas y tienen más de un año."
"5485","Buen producto, pero los resortes con un par de meses de uso ya están empezando a no cumplir su trabajo."
"5486","La compré hace unos meses para mi hijo pequeño y no te he tenido problemas. Buena cama, es muy cómoda."
"5487","Ni una estrella le daría pésimo duro menos que el amor de mi ex"
"5488","Muy mala la cama no duro nada ... pense que por ser rosen seria buena y todo lo contrario ...los resortes suenan a cada rato dolores de espalda y piernas por el colchon hundido en definitiva plata perdida servicio tecnico ni habla y muy malos ratos...uno no descansa ni duerme bn ...pesima no la recomiendo..."
"5489","Con el cuidado adecuado (dar vuelta el colchón periódicamente) se comporta como una buena alternativa de descanso adecuado con un excelente tamaño. Ya van 7 meses con él y ningún drama."
"5490","Muy buena compra, la recomiendo. Cumple con todo lo prometido"
"5491","Compré esta cama para mi hijo. Excelente cama, muy cómoda, mi hijo duerme como angelito."
"5492","excelente producto, rápida entrega de acuerdo a la fecha acordada.
confortable dormir, buen material, calidad.
lo recomiendo."
"5493","Producto aceptable relación calidad-precio, lo recomiendo"
"5494","La cama llegó sin una almohada y con un velador malo (derecho), han pasado 1 semana de la entrega y aún no hay solución."
"5495","Mi hijo quedó feliz ,súper práctico el baúl que tiene. Guardamos muchas cosas"
"5496","Compre este producto por la marca , pesimo en menos del año ya tenia marcas aun dandolo vueltas , de la garantia ni hablar , no lo recomiendo"
"5497","Las ruedas no son la de la imagen , sin pequeñas y se revientan
Mala experiencia"
"5498","Las ruedas no son las de la imagen , son pequeñas y negras , las típicas ruedas que con el tiempo se revientan .
Voy a Pedir devolución"
"5499","Pésima calidad, a los 6 meses ya estaba marcado con las siluetas...Rosen me respeto la garantía y me enviaran uno nuevo, pero el show sera como lo hare para cambiarlo por un modelo mejor...falabella y sus politicas"
"5500","excelente colchón lo recomiendo 100% ,mi hija feliz con el producto super cómodo"
"5501","En general es súper bueno. Ahorra bastante espacio en los dormitorios. Lo malo es que el mío llegó sin las ruedas y aún sigo esperando para que me lo cambien y poder usarlo."
"5502","Feliz con mi compra, mucho espacio, la cama no se desarma al levantarla, optimiza el lugar que vivo."
"5503","Pesimo colchon a los meses se hundio, pedimos la garantia nos cambiaron el colchon y duro menos que el anterior."
"5504","La peor cama de la vida, se hacen hoyos en el colchón, los resortes malísimos, cero confort al dormir."
"5505","Buen colchón, además alta buena para barrer debajo, calificó 4 estrellas porque el respaldo es un poco débil"
"5506","me encanto, sin ningún problema llego el día acordado,"
"5507","Grande comoda rica facinados con la cama. Una exelente compra."
"5508","Horrible, estructura pésima, patas de la madera más ordinaria que existe.
El precio muy elevado para lo que ofrecen.
No la recomiendo para nada."
"5509","Cama no muy blanca ni muy dura, esta perfecta me encanta la recomiendo al 100%, los de rosen no se demoraron la nada misma en instalarla, quedo perfecta."
"5510","No compren esta cama, es horrible de mala , primer día ya sonaba muy feo.
Muy mala calidad, lo barato cuesta caro."
"5511","PESIMA EXPERIENCIA CON CAMA YA QUE ES BASE DIVIDA Y NO TIENEN NINGUN GANCHO PARA ANCLAR POR LO TANTO AL MOVERLA PARA HACER LA CAMA O PARA LIMPIAR SE MUEVE UN SOLO LADO ES MUY INCOMODO , REALICE RECLAMO EN ROSEN POR QUE FALABELLA NO SE HACE CARGO Y ME DIJERON QUE AHORA LAS CAMAS VENIAN ASI, NO LA RECOMIENDO"
"5512","Cama muy comoda, de muy buena calidad, con gran capacidad de almacenaje, ahorra mucho espacio, ideal para espacios reducidos, supero mis expectativas, lo mejor es que por ser Rosen, ellos te lo instalan gratuitamente. Feliz con mi compra."
"5513","Perfecta, fue sencillo al armar y el colchón es muy cómodo."
"5514","Colchón ningún problema filete, la base decepcionante, cruje demasiado me comunique con rosen y quedaron de cambiarla en un par de días, esperar que el cambio mejore el crujidos"
"5515","Pésima compra, a menos de un año de uso el colchón se deformó, se sienten los resortes, es realmente malísimo, no lo recomiendo por nada del mundo."
"5516","Excelente compra
Muy buena y lo mejor es el almacenamiento,,,,,,,
El colchón muy cómodo"
"5517","Excelente cama muy cómoda se recomienda 100%, lo único que no me gustó mucho es digamos la madera del velador el tono es un poco tosco y no se ve a la vista de buena calidad pero lo demás todo excelente y los muchachos que reparten un 7 te la dejan Armada"
"5518","Me encanto el diseño es muy espaciosa. Bello el color del respaldo y veladores."
"5519","compre esta cama por Internet, trae poca información de armado me sobraron pernos del respaldo y no tengo como anclar las 2 bases, reclamé a la operadora virtual y es perder el tiempo ojalá me solucionen el problema en la tienda"
"5520","excelente cama cómoda y grande, muy sencilla de armar."
"5521","Muy bonita pero se me quebró sentándome ! Espero que me respondan la tengo hace 1 mes y se quebró en 2 a lo largo por el lado solo al sentarme !!"
"5522","Excelente compra! muy cómoda y los textiles de calidad. 100% recomendable."
"5523","La peor compra hecha, la base a los 5 meses de ocuparla comenzo a soltarse, al revisar me di cuenta que estaba unida con corchetes de 2 cm con palos que no soportan el peso de dos personas.
NO la compren."
"5524","Los muebles no son del color que se muestran en las fotos y el colchón es duro... desconforme con la compra por internet. Además no publican las notas bajas en los comentarios"
"5525","Los muebles no son del color que se ve en la foto, el colchón es duro... Pésima compra me arrepiento de haber comprado por internet"
"5526","muy cómoda, espaciosa, ideal para combinar con paredes, suelo, etc."
"5527","Más dura que una piedra, a si que hay que ablandarla con el uso :)"
"5528","cumple con lo que se dice solo ami me pasa algo tiene 8 patas lo cual son 2 pequeñas y van en el centro de cada base mi pregunta es es normal qje cruja tanto y que las patas de en medio no llegen al piso sin peso ?"
"5529","Excelente producto. Entregado en fecha. Adicional a la entrega viene el armado de ésta. Recomendable"
"5530","Compre este producto por internet, y el color de los muebles, ni se asemeja a los de la foto."
"5531","Buen producto, de fácil armado, elegante, firma, cuenta con ruedas que facilitan la movilidad del colchón inferior. Todo llegó según la oferta, las almohadas, plumones, sábanas. Contenta con la compra, la recomiendo."
"5532","Excelente colchon y base, muy util. Faltan instrucciones de armado y para quien la compre debe saber que tiene que contar con accesos amplios para poder entrar la base, al ser rigida es mas complicado que entrar un colchon.
Lo otro, es que el sistema hidraulico es muy duro, al menos yo no tengo mucha fuerza, asi que requiero de ayuda de otra persona. Pero mis papas tienen la misma pero mas antigua, y no les pasa lo mismo. Espero que con el uso se solucione.
Pese a todo, es una excelente compra."
"5533","Sólo duró un año se quebró una parte de abajo y a los dos años el colchón se abrió saliéndose los resortes."
"5534","Llevo 1 mes con la cama, el colchón es malo malo malo, muy arrepentida de haber cambiado a Cic"
"5535","El colchón es bueno y cumple con las condiciones, la base divida de esta marca no la recomiendo ya que se une solo a través del respaldo de la cama, por lo que al moverla se hace dificultoso porque las bases se separan igual. Le hace falta algo que una la base desde ahí mismo."
"5536","Excelente compra. Me ahorro mucho espacio, es facil de levantar y la uso también como caja fuerte. Recomiendo si colocar un cubrecolchon sognare u otra marca para mayor comodidad y duración."
"5537","Malisimo el colchón se sienten todos los resortes, la base es madera abajo y alambre galvanizado arriba que se deforma, peso 70Kg y mido 1,76mt y mi lado esta todo chueco, además cuando llegó las uniones de la base estaban mal puestas y no encajaban y tuve que desmontarlas y cuadrarlas nuevamente, nunca más compro Rosen"
"5538","es espacioso, aunque muuuy pesado, el colchon es duro. No viene ningun instructivo para el armado. Una vez armado me di cuenta en una de las esquinas de la base estaba roto, descosido. La verdad me dio lata devolverlo porque costó tanto entrarlo a la habitación que sacarlo de nuevo no era una opción."
"5539","Excelente cama: cómoda y no tan alta para los niños"
"5540","Impecable. Firme, estético y funcional. 5 estrellas."
"5541","Muy bueno...lo recomiendo. Un adulto duerme muy bien"
"5542","buena cama, al ser base dividida es especial para departamentos, hasta el momento ningún problema."
"5543","Me arrepiento no haber comprado una más cara, la verdad vi los comentarios y por eso me atreví a comprarla, pero no me gustó la base, muy liviana y el colchón muy delgado para mi gusto. La próxima vez, a comprar personalmente para constatar la calidad. Los jóvenes que la armaron fueron poco delicados, demasiado bruscos. Antes compré en otra tienda y fueron muy caballeros y delicados con las cosas."
"5544","Bonitas las maderas, buena opción de altura de la base, colchón duro, me arrepentí de comprarlo, primera noche en el y fue dormir en el suelo. no lo recomiendo. en realidad mejor gastarse un poco mas y tener un descanso optimo, pésima elección por ahorrarse unas lucas."
"5545","Exquisita, lo único que el respaldo es complicado de instalar. Además, deberían disminuir monto de envio. No puede ser que cueste tan caro!! En Easy o hasta en Sodimac es muchísimo más barato"
"5546","Pesimo colchón, a los meses ya estan las siluetas marcadas, lo tengo 2 años y me entierro todos los resortes, muy malo para ser producto rosen"
"5547","LA MARCA ROSEN ES PESIMA, EL COLCHON DURO 1 AÑO YA SE SIENTEN LOS RESORTES"
"5548","Muy malo duro unos 3 meses. Me lo cambiaron por garantía. Y lo mismo. Super mala calidad"
"5549","Buen producto, de facil armado.
pesimo servicio de despacho!"
"5550","Compré esta cama hace 3 meses y no he tenido problema. Colchón cómodo."
"5551","100% recomendado. Cama muy cómoda para conciliar el sueño."
"5552","El colchón es de excelente calidad y el producto en general es muy bueno!"
"5553","Muy mal calidad yo lo compre y no alcanzó a durar un año no la recomiendo"
"5554","La cama de arriba sin problemas pero la cama de abajo se undio solo en 5 meses...la cama de abajo mala calidad...no es igual que la de arriba"
"5555","El plazo de entrega se cumplió, y llego en perfecto estado, muy cómoda y amplia, la recomiendo 100 por ciento."
"5556","Quisiera saber si tiene acceso para colocarle respaldo ?
Si alguien que tenga la cama me pudiera indicar, ya que algunas camas aunque se venden sin respaldo traen los orificios para colocarlo.
gracias,"
"5557","colchón duró con suerte 2 meses y comenzó a hundirse. no lo recomiendo"
"5558","Exelente cama muy buenas terminaciones, ningún detalle. El colchón es muy cómodo desde que la estamos utilizando ya no sufro de los dolores de espalda. 100% recomendable ."
"5559","Muy elegante, cómoda y fácil de armar. El colchón es perfecto."
"5560","Hace 4 meses compre esta cama , hoy al sentarse mi hijo a la orilla o borde crujió fuerte al revisar me di cuenta que se quebró al parecer justo en un nudo de la madera (larguero). Vere si la garantia cubre esto."
"5561","Muy buena cama, la tengo hace más de un año y no e tenido ningún problema colchón comodo con un respaldo y velador a juego sobrio todo."
"5562","Muy buen producto. Lo armamos junto a mis hijos de 7 y 10 año. Por lo que es muy fácil hacerlo.
El único problema que no nos percatamos al comprar está cama fue que la cama de abajo no tiene ningún tipo de contención para las sábanas. Por lo que estás quedan literalmente en el piso o hay que hacerles nudos.
Pequeño gran detalle!!!!
Si es para uso esporádico (cama inferior) no hay problema pero si es de uso diario la verdad es que incómoda bastante.
Cama y colchones impecables."
"5563","Me encanto la cama, si bien el colchon lo senti un poco duro al principio ahora no es un problema, llevo alrededor de 3 meses y esta en perfectas condiciones"
"5564","Es muy comoda, me encanta el boxet demasiado espaciosa, le cabe de todo!!! ideal para dptos con muy poco espacio, guardamos ropa, zapatos, un pc, es muy buena."
"5565","Compré hace un par de años esta cama y no pasó ni una año cuando el colchón se comenzó a un dir, aun cuando este se giró y se volteó, pero se notan los resortes y pierde la forma, al igual que la cama de abajo que es peor, ya que se siente aun más los resortes. Muy mal producto, me decepcionó la marca Rosen"
"5566","Muy comoda y los muebles y respaldo de muy buena calidad, para dormir una persona excelente
<U+2714> Sí, recomiendo este producto."
"5567","Nos encanto la cama, super cómoda, llego la fecha indicada, sin problemas."
"5568","Excelente, especial para quienes tenemos problemas a la espalda con las camas blandas"
"5569","Pésimo colchón, desde el día 1 me ha dolido la espalda, pasaron 6 meses y no aguanté mas, tuve que comprar otro"
"5570","Excelente nad que decir la compre ayer se demoró un poco en llegar pero llego y fácil de armar"
"5571","Hermosa cama ; el colchon excelente calidad .... cuando la trajeron me faltaba una pata de las que van al centro llame a rosen y me la trajeron al 2° dia..... en fin... la cama era lo que yo esperaba
<U+2714> Sí, recomiendo este producto."
"5572","Exquisita cama , muy cómoda y duermo como un angelito...
<U+2714> Sí, recomiendo este producto."
"5573","Hola a todos, les comento que este producto cumple con las expectativas en relación precio / calidad, ideal para dormitorios pequeños de departamentos, en su baúl cabe bastante ropa de cama, 100% recomendable.
<U+2714> Sí, recomiendo este producto."
"5574","Excelente producto, buen material y bastante cómoda, además es bastante atractivo el modelo
<U+2714> Sí, recomiendo este producto."
"5575","La peor compra de mi vida , el colchón es durísimo !! imposible dormir es un suplicio . No lo recomiendo para nada ."
"5576","Le regalé esta cama a mi madre y a ella le encantó. Tiene 5 patas, una va al centro, es súper alta, muy cómoda, calentita y fácil de mover. Tiene 2 meses con la cama y el colchón ha resistido muy bien, sin hoyos o hundido por el peso del cuerpo. El único pero, es que no la dejaron instalada, solo dieron un número para llamar y que la fueran a instalar.
<U+2714> Sí, recomiendo este producto."
"5577","La tengo hace un año y la calidad es excelente en relación al bajo precio que tiene es comoda, firme y además muy bonita
<U+2714> Sí, recomiendo este producto."
"5578","muy bien producto, esperaba algo bueno y obtuve algo mejor nada que decir marca rosen lo recomiendo"
"5579","La cama es súper firme, incluso pesada, es alta y el colchón y almohadas son de buena calidad"
"5580","Producto cómodo y de buena calidad. Excelente despacho y buena entrega del producto"
"5581","Lo compre con la recomendación de mucha gente por la marca, por sobre la competencia directa y a un mes de ser usado el colchón ya esta marcado. Pense que lo barato era solo por que no venia con veladores ni respaldo pero parece que el colchón también fue un factor por la baja de su valor. Bajo Valor Mala Calidad"
"5582","muy buen producto, comodo y confortable, con espacio suficiente para guardar cachureos varios, ropa de cama y ropa de temporada que no se esta ocupando."
"5583","Muy buen producto, lo unico que podría considerar negativo es el armado del respaldo, me refiero a que no viene con ningun tipo de instrucción, lo demas un 7"
"5584","Muy conforme con la compra, la cama es muy facil de armar y tiene un diseño muy bonito. Además el colchón es uno de los mejores que tienen en tienda, considero que esta fue una gran oferta, pues el precio al que la conseguí fue muy bajo y la calidad es muy alta.
Reitero, estoy muy satisfecha con la compra!"
"5585","Muy buena cama, ideal para espacios pequeños. Puedo guardar ropa de cama , zapatos, ropa en general! Muy cómoda, excelente adquisición
<U+2714> Sí, recomiendo este producto."
"5586","Muy buen producto cuando lo compras pero a los 2 años el colchon se hecho a perder...sin garantia por que es 12 meses...mmmm"
"5587","El producto llegó tal cual como se muestra en las imágenes y los veladores armados mui satisfecho con la entrega y en el plazo acordado"
"5588","Muy duro el colchon, incomodo. de las 6 camas de la casa este colcho es el mas nuevo he incomodo.
no lo recomiendo. lo regalaré y tendré que comprar otro de otra marca. pero esta vez iré a la tienda a ver la comodidad, creo que ese fue mi error."
"5589","Excelente producto precio calidad muy comodo las veces que lo he usado con mi hijo pequeño"
"5590","El armado de la marca es deficiente, me habían roto una pata de la cama y no habían informado, nos dimos cuenta al tiempo, y nos cambiaron la base, la cual con el tiempo empezó a sonar feo... Tendré que volver a llamar... Me queda justo como 2 semanas de garantía"
"5591","Al principio me costó armarla, pero luego de entender como hacerlo, fue todo más fácil. El camarote es bastante fuerte y soporta más de 220 kg. Posee un color maravilloso, y los colchones son perfectos..
100% recomendado."
"5592","lo entregaron armado sin costo adicional, buen precio, lindo color y la entrega fue dentro de tres dias desde la compra (muy rapido)"
"5593","Entrega en tiempo establecido, muy cómodo y de buen material, recomendado!"
"5594","Buen producto. Llego a tiempo. Colchon algo duro. Caja impecable"
"5595","Es un buen producto, lo malo que viví una pésima experiencia con la instalación. Cuando llegaron por primera vez se les olvidó las ruedas, posteriormente se les olvidó instalarme otra pieza me han dejado 2 piezas sueltas y no he tenido respuesta de Rosen y hace UN MES COMPRE EL DIVAN ¡EXIJO ALGUNA SOLUCIÓN, PORQUE POR ALGO ESTOY PAGANDO EL PRODUCTO! :)
ESTOY CON MI CAMA SEMI- ARMADA."
"5596","Lo compré,y se nota buen colchón,y a un buen precio,ademas llegó en la fecha indicada.
<U+2714> Sí, recomiendo este producto."
"5597","Llegó en la fecha estipulada. Sin embargo, un tornillo de la base de la cama venía muy presionado con la tuerca, se tuvo que descoser, sacando las grapas para revisar al interior de la madera. El tapizado del colchón de abajo venía rasgado, dejando ver todos los resortes. Mala experiencia con el producto en su armado. El respaldo costó encajar a la cama y la madera es de mala calidad, al igual que el velador."
"5598","Totalmente recomendable, excelente producto, no cruje nada, ideal para optimizar espacio.
<U+2714> Sí, recomiendo este producto."
"5599","Muy buena experiencia muy comoda la cama y muy bueno el reparto a domicilio"
"5600","Muy buena cama. Muy cómoda y muy buena relación calidad vs precio."
"5601","Excelente producto, ahorras espacio y es muy práctico. El color del boxet también acompaña, he comprado 2 de estas y totalmente recomendable.
<U+2714> Sí, recomiendo este producto."
"5602","Quede muy conforme con la compra realizada las camas y sus accesorios venian en perfecto estado y llegaron a Punta Arenas una semana antes de lo indicado 100%Recomendable
<U+2714> Sí, recomiendo este producto."
"5603","Todo lo que esperaba. Linda y muy cómoda. De armado fácil.
Muy contenta con mi compra.
<U+2714> Sí, recomiendo este producto."
"5604","Llego bien, sin problemas. Buena relación precio/calidad aunque podría mejorarse ambos extremos de la cama"
"5605","Compré esta cama hace pocos meses y está completamente hundida de un lado...luego di vuelta el colchón y se hundió del otro...
No la recomiendo. No sé ni a quien reclamar..."
"5606","Excelente calidad del producto, fácil armado y muy lindo el color."
"5607","Compré esta cama hace un año aproximadamente y está en perfecto estado, tanto la base como colchón, recibí el día que correspondía.
<U+2714> Sí, recomiendo este producto."
"5608","Todo me llego en perfecto estado y la fecha indicada .muy conforme con los productos que compre ..muy bien atendido en la tienda ...
<U+2714> Sí, recomiendo este producto."
"5609","Muy buena cama, es muy comoda y a mi hijo le encanta."
"5610","desde que lo tengo duermo feliz, muy complacido con sus caracteristicas y su envio.
rosen excelente"
"5611","lo mejor para el descanso y lo compre a un precio de promoción, nada como rosen"
"5612","desde que lo tengo duermo feliz, muy complacido con sus caracteristicas y su envio"
"5613","No lo recomiendo. El colchón tiene un año y esta hundido en la parte donde duermo aún que gorda no soy."
"5614","Linda y cómoda, cumplió con todas mis expectativas."
"5615","Esta es una cama nido. Las camas divan tienen un soporte para el colchon, es decir se le puede cambiar el colchon"
"5616","La cama es buena pero la enviaron con uno de los pernos errados para la instalación de una de las patas, la solución fue usted compra el perno por su lado o la retiramos y se la traemos una semana mas."
"5617","Es muy bonita el despacho llego a tiempo y es muy firme su estructura ..la recomiendo"
"5618","Me gustó el set, pero el cajon al quitarle el plastico del embalaje se abrió completamente y no fue posible cerrarlo otra vez. brazos hidráulicos con falla"
"5619","El producto es bueno pero puede venir dañado, lo que es muy desagradable. Todavía espero que me cambien el respaldo. No estoy muy satisfecho con esto."
"5620","Excelente, cumple con mis expectativas, muy bonita y cómoda.
<U+2714> Sí, recomiendo este producto."
"5621","El colchón se hundió a pesar de darlo vuelta en distintas direcciones periódicamente no duro ni 3 meses servicio al cliente rosen no contestan nunca, esperemos que ahora respondan por la falla, ojo solo 12 meses de garantia!!! los CIC tienen 10 años en los resortes!!!"
"5622","Mala llega el producto 1 semana después de lo establecido, le faltan ( cobertor,patas de apoyo "" unas dañadas y otras faltantes "" . )
Se llama para hacer el cambio de producto y no llegan en la fecha acordada. Para más remate , nos culpan a nosotros de q no estábamos en la casa . Siendo q los esperamos todo el día."
"5623","Excelente calidad. Entrega en fecha indicada y armado rápido. Recomendado."
"5624","Compr<U+FFFD> este box spring a mediados del 2016 y debo decir que no decepcion<U+FFFD> a la fecha sigue impecable, la base es firme al igual que sus patas y ruedas, los veladores y respaldo son elegantes y lucen bien, el colch<U+FFFD>n es bueno y c<U+FFFD>modo al dormir.
<U+2714> Sí, recomiendo este producto."
"5625","Excelente producto, el problema que tuve fue que venía con fallas y tuvimos que coordinar con post venta su reparación."
"5626","Responsabilidad en la fecha de entrega y producto cumple con lo esperado"
"5627","Excelente compra. Es muy comoda la cama, con la altura correcta y el confort necesario para un buen dormir. Y el cubrecamas es genial! Las personas encargadas del armado son un 7. Relacion calidad/precio &#128077;&#128077;&#128077;
<U+2714> Sí, recomiendo este producto."
"5628","Excelente producto, muy c<U+FFFD>modas y buena calidad ambas camas. La de abajo es muy f<U+FFFD>cil de sacar y guardar gracias a las ruedas y a una banda el<U+FFFD>stica que trae al centro para tirar hacia afuera.
<U+2714> Sí, recomiendo este producto."
"5629","Horriblee!!! Super incomodo el colchon... Solo quiero cambiarlo!! Pesima desicion...."
"5630","Cumple todas las expectativas, id<U+FFFD>ntica a la fotograf<U+FFFD>a, el textil es todo marca Rosen color crudo, muy buena inversi<U+FFFD>n, la recomiendo a ojos cerrados.
<U+2714> Sí, recomiendo este producto."
"5631","La cama es buena y c<U+FFFD>moda. Ocupa muy poco espacio, muy funcional. Es una maravilla
<U+2714> Sí, recomiendo este producto."
"5632","Colch<U+FFFD>n muy c<U+FFFD>modo. Base firme. Muebles sobrios pero elegantes.Despacho oportuno y el personal de armado excelente.
<U+2714> Sí, recomiendo este producto."
"5633","Buena calidad, excelente atención y rapidez en el armado. Es lo que esperábamos."
"5634","La cama es cómoda, linda, igual a la descripción, lo único que incomoda es que el colchón adicional, no tiene un límite al momento de sacarlo del interior del cajón, por lo que se sale totalmente del cajón y si quien lo usa se mueve mucho, el colchón puede llegar a cualquier parte."
"5635","Excelente producto f<U+FFFD>cil de armar s<U+FFFD>lo requiere de un par de herramientas comodidad total
<U+2714> Sí, recomiendo este producto."
"5636","Cama muy c<U+FFFD>moda, pero no llegaron todos los materiales para armarla , tuve que comprarlos
<U+2714> Sí, recomiendo este producto."
"5637","Al a<U+FFFD>o se sent<U+FFFD>an los resortes y era evidente el desnivel que ten<U+FFFD>a entre la zona de los pies y el centro (peso 60k). Despierto con dolor de espalda."
"5638","Cama tiene sonidos de madera vieja o suelta. Chicharrea al momento de subirse en ella. Como peoducto nuevo no deberia estar cn ese defecto. Llamare y exigire la garantia"
"5639","La cama tiene 5 meses y una base tiene un sonido muy molesto...al revisar la garant<U+FFFD>a aparece que s<U+FFFD>lo el colch<U+FFFD>n tiene garant<U+FFFD>a de 12 meses"
"5640","No recomiendo este producto, p<U+FFFD>sima calidad, el colch<U+FFFD>n dur<U+FFFD> menos de seis meses en estado <U+FFFD>ptimo, hay un fierro que divide el colch<U+FFFD>n por la mitad (cama anti cucharita). Al dormir tengo un par de resortes incrustados en mis costillas, por lo tanto tenemos un mal descanso y dolor de espalda."
"5641","El producto es muy bueno, los e comprado siempre , hay una preocupacion de mantener la calidad atravez del tiempo, los felicito.
<U+2714> Sí, recomiendo este producto."
"5642","Excelente producto, recomendable, sobretodo para ahorrar espacio.
<U+2714> Sí, recomiendo este producto."
"5643","Excelente altura de base con colch<U+FFFD>n, no ruidos... A su precio vale la pena.
<U+2714> Sí, recomiendo este producto."
"5644","El camarote es lo m<U+FFFD>s firme que he visto y tenido, buena madera, terminaciones, lo he armado y desarmado para usarlo como camarote y cama y est<U+FFFD> impecable, los colchones son de buena calidad y c<U+FFFD>modos; usado como camas individuales son recomendables pues es alta para que a las madres no nos duela la espalda atendiendo a nuestros hijos y abajo de ella pongo cajas de pl<U+FFFD>stico con juguetes o zapatos, como camarote me encanta que sea alto pues el que duerme abajo no se siente apretado ni asfixiado, me encanta tanto que comprar<U+FFFD> otro para m<U+FFFD> casa de playa.
<U+2714> Sí, recomiendo este producto."
"5645","La compra es reciente, hasta el momento s<U+FFFD>lo puedo comentar la buena atenci<U+FFFD>n e informaci<U+FFFD>n del producto...En cuanto a comodidad de la cama es exquisita...
<U+2714> Sí, recomiendo este producto."
"5646","Pude guardar al patas negras perfectamente , nadie se dio cuenta del escondite \m/
<U+2714> Sí, recomiendo este producto."
"5647","El camarote es firme y est<U+FFFD>ticamente muy lindo, los colchones son de muy buena calidad. La escalera parece ser un poco endeble, por lo que me d<U+FFFD> un poco de susto cada vez que mi hija mayor (62 kilos), sube por ella para dormir en la cama de arriba. Llevan reci<U+FFFD>n 8 d<U+FFFD>as us<U+FFFD>ndolo, de momento va bien, un poco incomodo para hacer las camas ya que es demasiado alto, y los colchones pesados pero es por la buena calidad que son. Lo <U+FFFD>nico que cambiar<U+FFFD>a es la altura, lo bajar<U+FFFD>a unos 15 cms.
<U+2714> Sí, recomiendo este producto."
"5648","En general si me gusto y me llego en la fecha estipulada. Un detalle que no nos dimos cuenta y la vendedora tampoco nos dijo es que este modelo no trae ruedas en la base de la cama, por lo tanto se nos complico porque es para que la use un adulto mayor y tendra mucho problema para moverla.
<U+2714> Sí, recomiendo este producto."
"5649","Todo bien, muy buena calidad de la cama, el respaldo y velador. Recomendable.
<U+2714> Sí, recomiendo este producto."
"5650","la compre el 27 de octubre y fue una compra genial, super comoda y con todos sus accesorios correspondientes. lo mejor, estaba en oferta en 200k, excelente compra.
<U+2714> Sí, recomiendo este producto."
"5651","Exelente Producto, muy conveniente para almacenar ropa de cama. entrega puntual.
<U+2714> Sí, recomiendo este producto."
"5652","Excelente compra, una cama muy practica y comoda. El colchon es duro, pero perfecto para mi. El despacho muy rapido y dejaron la cama lista.
<U+2714> Sí, recomiendo este producto."
"5653","Muy buen producto lo compr<U+FFFD> el a<U+FFFD>o pasado tambi<U+FFFD>n con esta promoci<U+FFFD>n cyber lo recomiendo al 100
<U+2714> Sí, recomiendo este producto."
"5654","Es la PEOR marca que he comprado por eso solo la garant<U+FFFD>a es de 1 a<U+FFFD>o y no de 10 como en el caso de CIC. tengo poco m<U+FFFD>s de un a<U+FFFD>o que me compre un colchon Rosen y ya se undio, duro solo la garant<U+FFFD>a."
"5655","Compr<U+FFFD> esta cama hace 1 a<U+FFFD>o, el colch<U+FFFD>n es MALO. Los resortes se desprenden y al final se hunde el colch<U+FFFD>n. Por favor, les recomiendo que no gasten dinero en esta cama, No vale la penaLa calidad de la marca Rosen, es muy mala, me desilusion<U+FFFD>"
"5656","ME ENCANTO LA CAMA ES MUY COMODA Y ME DA UN DESCANSO REPARADOR. APARTE ESTA A UN BUEN PRECIO
<U+2714> Sí, recomiendo este producto."
"5657","Lo compre hace 1 a<U+FFFD>o y ya debo comprar otra cama si tienen la costumbre de dormir solo hacia un lado no lesservir<U+FFFD> compren otra"
"5658","Buen<U+FFFD>sima cama la verdad, facil de armar y comoda a mas no poder! Gran compra y absolutamente recomendada
<U+2714> Sí, recomiendo este producto."
"5659","No se merece ninguna estrella. Colch<U+FFFD>n de p<U+FFFD>sima calidad, lo compramos el 2015 , estamos a 2017 y ya lo tenemos que cambiar, o sea dur<U+FFFD> 2 a<U+FFFD>os.A pesar de que hicimos los cambios de posici<U+FFFD>n del colch<U+FFFD>n que recomiendan seg<U+FFFD>n las instrucciones, el colch<U+FFFD>n se hundi<U+FFFD> y se sienten todos los resortes, ojo que mi marido es delgado y su lado de la cama se hundi<U+FFFD> completo.No lo recomiendo, lo barato cuesta caro."
"5660","Es maravilloso. Buenas terminaciones. Tecnicamente bien dise<U+FFFD>ado. Hermoso y elegante pero funcional al mismo tiempo.
<U+2714> Sí, recomiendo este producto."
"5661","Excelente cama, me ampli<U+FFFD> notoriamente el espacio en mi dormitorio con el ba<U+FFFD>l. La recomiendo!
<U+2714> Sí, recomiendo este producto."
"5662","Es un producto demasiado f<U+FFFD>cil de armar, llego en la fecha y hora indicada, muy lindo y lo mas importante, cumple su funci<U+FFFD>n! Super C<U+FFFD>moda!
<U+2714> Sí, recomiendo este producto."
"5663","es muy bonito el dise<U+FFFD>o y es ideal para descansar
<U+2714> Sí, recomiendo este producto."
"5664","La cama en si es firme pero el colch<U+FFFD>n no lo recomiendo para nada es duro <U+FFFD>spero inc<U+FFFD>modo"
"5665","Comod<U+FFFD>sima, amplia y colch<U+FFFD>n firme.Despacho en tiempo informado, las personas del flete muy amables.Todo excelente.
<U+2714> Sí, recomiendo este producto."
